UUID,Modified,Creator,Publisher,Title,DatasetURI,Description,TopicCategory,DateIssued,Formats,Links
607a6b5e-8da5-4052-82c6-e3b412d72d4b,2017-12-18T15:49:46.293346,Philadelphia Police Department,City of Philadelphia,Complaints Against Police,police-complaints,"As part of the Philadelphia Police Department's (PPD) accountability processes, PPD has released two datasets: The Complaints Against Police (CAP) dataset documents the civilian complaints alleging police misconduct and the CAP Findings dataset provides demographic details of the police officer involved, the allegations, and the status of the PPD's Internal Affairs Division's investigation of and findings (if available) about the allegation. 

Includes data from 2013 to the present year. Updated monthly. ",Public Safety,2017-11-01T14:14:34.042338,"CSV, shp, geojson, api","https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+ppd_complaints&filename=ppd_complaints&format=csv&skipfields=cartodb_id,the_geom,the_geom_webmercator, https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+ppd_complaints&filename=ppd_complaints&format=shp&skipfields=cartodb_id, https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+ppd_complaints&filename=ppd_complaints&format=geojson&skipfields=cartodb_id, https://cityofphiladelphia.github.io/carto-api-explorer/#ppd_complaints, https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+ppd_complaint_disciplines&filename=ppd_complaint_disciplines&format=csv&skipfields=cartodb_id,the_geom,the_geom_webmercator, https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+ppd_complaint_disciplines&filename=ppd_complaint_disciplines&format=shp&skipfields=cartodb_id, https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+ppd_complaint_disciplines&filename=ppd_complaint_disciplines&format=geojson&skipfields=cartodb_id, https://cityofphiladelphia.github.io/carto-api-explorer/#ppd_complaint_disciplines"
6de3e169-f670-42cd-b5e9-c95e8708990c,2017-12-15T18:49:15.606902,Licenses and Inspections,City of Philadelphia,Licenses and Inspections Districts,licenses-inspections-district-boundaries,"District Boundaries for the Department of Licenses & Inspections are pre 2014.
Districts Broad refers to the five districts which contain their own district offices and are a method the department uses to assign and analyze work.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",,2015-01-30T19:27:53.322578,"CSV, api, shp, geojson, HTML, KML","http://data.phl.opendata.arcgis.com/datasets/a54a2af5166e46848fd067475dd6581c_0.csv, https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Districts/FeatureServer/0/query?outFields=*&where=1%3D1, http://data.phl.opendata.arcgis.com/datasets/a54a2af5166e46848fd067475dd6581c_0.zip, http://data.phl.opendata.arcgis.com/datasets/a54a2af5166e46848fd067475dd6581c_0.geojson, http://metadata.phila.gov/#home/datasetdetails/55676856609f65a12174370b/representationdetails/5571b1b3e4fb1d91393c213b/, http://data.phl.opendata.arcgis.com/datasets/73e04569563546889df1bdc13360f88b_0.csv, https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/DISTRICTS_BROAD/FeatureServer/0/query?outFields=*&where=1%3D1, http://data.phl.opendata.arcgis.com/datasets/73e04569563546889df1bdc13360f88b_0.zip, http://data.phl.opendata.arcgis.com/datasets/73e04569563546889df1bdc13360f88b_0.geojson, https://www.arcgis.com/home/item.html?id=856343e8d4434b4190a3d38558996a24, http://data.phl.opendata.arcgis.com/datasets/a54a2af5166e46848fd067475dd6581c_0.kml, http://data.phl.opendata.arcgis.com/datasets/73e04569563546889df1bdc13360f88b_0.kml"
0b42001c-eaba-4dc2-95b6-0c5b24939c75,2017-12-15T18:47:21.849923,Department of License and Inspections,City of Philadelphia,Building Demolitions,building-demolitions,"Inventory of building demolitions occurring within the City of Philadelphia. This includes both demolitions performed by private owners/contractors and by the Department of Licenses and Inspections due to dangerous building conditions. 

Updated daily. 

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)","Economy, Planning / Zoning, Public Safety, Real Estate / Land Records",2017-11-02T18:34:24.957412,"HTML, CSV, shp, geojson, api","https://data.phila.gov/visualizations/li-demolitions/, https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+li_demolitions&filename=li_demolitions&format=csv&skipfields=cartodb_id,the_geom,the_geom_webmercator, https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+li_demolitions&filename=li_demolitions&format=shp&skipfields=cartodb_id, https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+li_demolitions&filename=li_demolitions&format=geojson&skipfields=cartodb_id, https://cityofphiladelphia.github.io/carto-api-explorer/#li_demolitions, http://metadata.phila.gov/#home/datasetdetails/58dbd271fe779d33cf0e8cad/representationdetails/58dbd271fe779d33cf0e8cb1/"
ea042dba-4c8f-4bba-8a13-269c877dd943,2017-12-05T18:42:28.187990,"Department of Planning and Development, PASDA",City of Philadelphia,Enterprise Zones,enterprise-zones,"Please note that the enterprise zones expired in the early 2000s, therefore this dataset has been archived, and will not be updated, but remains for historical analysis purposes.

Data includes commercial and industrial zones, i.e. areas with specific federal enterprise zone designation meant to attract and support businesses in blighted areas. Blighted areas are defined as meeting one of seven city mandated criteria, including unsafe, unsanitary and inadequate conditions; economically or socially undesirable land use; and faulty street and lot layout.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)","Economy, Planning / Zoning",2014-12-08T22:50:30.915944,"HTML, XML, shp","http://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=PhiladelphiaEnterpriseZones201201.xml, http://www.pasda.psu.edu/pasda/UCI_Metadata/PhiladelphiaEnterpriseZones201201.xml, http://www.pasda.psu.edu/data/philacity/data/PhiladelphiaEnterpriseZones201201.zip"
8bcd9d60-fc3e-4c9c-ade3-489e8f5e0a38,2017-12-05T18:41:56.440017,Department of Planning and Development,City of Philadelphia,Planning Analysis Sections,planning-analysis-sections,"Please note that this dataset is no longer in use by the Philadelphia City Planning Commission and has been replaced with the [Planning Districts dataset](https://www.opendataphilly.org/dataset/planning-districts).

The Planning Analysis Sections were the boundaries for the city's twelve planning analysis sections with attribute labels. 
 
Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)","Planning / Zoning, Real Estate / Land Records",2014-12-08T21:58:18.716956,"shp, HTML, api","http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=344, http://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=philadelphiaplanninganalysissections2005.xml, http://help.arcgis.com/en/arcgisserver/10.0/apis/rest/, http://gis.phila.gov/ArcGIS/rest/services/PhilaOIT-GIS_Boundaries/MapServer/10"
9169a23f-04e1-46c1-808c-06b49255a4e9,2017-11-29T17:38:15.208981,Licenses and Inspections,City of Philadelphia,Licenses and Inspections Business Licenses,licenses-and-inspections-business-licenses,"Information regarding applications for licenses required by the City to conduct certain business activities. Licenses are required for individuals and businesses to engage in select commercial activities. For example, vendors and restaurants require a license in order to sell goods and food and trades-people, such as plumbers and contractors, require a license in order to practice their trade.

Information includes license application type, applicant, property for which the license would be issued, application date, issue date, and expiration date. Data is accurate; however, it may be misinterpreted by an unfamiliar user.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)","Economy, Planning / Zoning, Real Estate / Land Records",2016-09-22T21:14:38.869844,"CSV, geojson, shp, api documentation, HTML","https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+li_business_licenses&filename=li_business_licenses&format=csv&skipfields=cartodb_id,the_geom,the_geom_webmercator, https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+li_business_licenses&filename=li_business_licenses&format=geojson&skipfields=cartodb_id, https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+li_business_licenses&filename=li_business_licenses&format=shp&skipfields=cartodb_id, https://cityofphiladelphia.github.io/carto-api-explorer/#li_business_licenses, http://metadata.phila.gov/#home/datasetdetails/5543865a20583086178c4ed2/representationdetails/57e53953dfc5d2be6083dae2/"
92a3f17d-c582-4d94-a624-6c279d84938d,2017-11-20T23:12:04.033822,Philadelphia Water Department,City of Philadelphia,Hydrology,hydrology,"Locations of surface water features (rivers, creeks, ponds, reservoirs) and water beneath city bridges and adjacent to city borders. Separate files are available for each waterbody (and watershed) in KML form, or as a whole in Shapefile form.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)","Environment, Planning / Zoning, Real Estate / Land Records",2014-12-08T21:55:38.409845,"CSV, KML, shp, geojson, api, HTML","http://data.phl.opendata.arcgis.com/datasets/a31f7d7469404e919517e038fc133a8e_0.csv, http://data.phl.opendata.arcgis.com/datasets/2b10034796f34c81a0eb44c676d86729_0.csv, http://data.phl.opendata.arcgis.com/datasets/a31f7d7469404e919517e038fc133a8e_0.kml, http://data.phl.opendata.arcgis.com/datasets/2b10034796f34c81a0eb44c676d86729_0.kml, http://data.phl.opendata.arcgis.com/datasets/a31f7d7469404e919517e038fc133a8e_0.zip, http://data.phl.opendata.arcgis.com/datasets/2b10034796f34c81a0eb44c676d86729_0.zip, http://data.phl.opendata.arcgis.com/datasets/2b10034796f34c81a0eb44c676d86729_0.geojson, http://data.phl.opendata.arcgis.com/datasets/a31f7d7469404e919517e038fc133a8e_0.geojson, https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Hydrographic_Features_Arc/FeatureServer/0/query?outFields=*&where=1%3D1, https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Hydrographic_Features_Poly/FeatureServer/0/query?outFields=*&where=1%3D1, http://metadata.phila.gov/#home/datasetdetails/557f30c6dcec614c29ce8b6d/representationdetails/557f30e3c579ea311699bb49/"
b156f518-9fa8-4c68-8e8b-de2974b14b02,2017-11-20T23:06:09.436256,Philadelphia Water Department,City of Philadelphia,Watercourses Designated for Protection,watercourses-designated-for-prote,"Hydrographic features included in Philadelphia Hydrology Map. This map was officially adopted by City Council as the official map of Philadelphia Watercourses Designated for Protection on September 13th, 2012. The geographic data depicts watercourses within Philadelphia County as they appear on the map and will not be edited or updated. For up-to-date hydrography see the Hydrolographic_Features_Poly layer under Hydrology.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)","Environment, Health / Human Services, Planning / Zoning",2015-01-21T15:14:44.855872,"CSV, KML, shp, geojson, api, HTML","http://data.phl.opendata.arcgis.com/datasets/1058f654b82244de9a5b12d12c58279b_0.csv, http://data.phl.opendata.arcgis.com/datasets/7c17a8e7685b404e8bcfbc7ae1b62de3_0.csv, http://data.phl.opendata.arcgis.com/datasets/1058f654b82244de9a5b12d12c58279b_0.kml, http://data.phl.opendata.arcgis.com/datasets/7c17a8e7685b404e8bcfbc7ae1b62de3_0.kml, http://data.phl.opendata.arcgis.com/datasets/1058f654b82244de9a5b12d12c58279b_0.zip, http://data.phl.opendata.arcgis.com/datasets/7c17a8e7685b404e8bcfbc7ae1b62de3_0.zip, http://data.phl.opendata.arcgis.com/datasets/1058f654b82244de9a5b12d12c58279b_0.geojson, http://data.phl.opendata.arcgis.com/datasets/7c17a8e7685b404e8bcfbc7ae1b62de3_0.geojson, https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Zoning_Hydrology_Line_2012/FeatureServer/0/query?outFields=*&where=1%3D1, https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Zoning_Hydrology_Poly_2012/FeatureServer/0/query?outFields=*&where=1%3D1, http://metadata.phila.gov/#home/datasetdetails/5589c611d2b75b7a58b238fa/"
f5688123-9a95-4003-944b-4ae090424f91,2017-11-20T21:38:36.506919,Philadelphia Water Department,City of Philadelphia,Rain Gauges,rain-gauges,"The purpose of this data is to describe the Rain Gauges both locationally and via their attributes. This data shows the location and attributes of Rain Gauges throughout the City of Philadelphia.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",Environment,2015-10-07T17:42:05.363372,"HTML, KML, api, geojson, CSV, shp","http://metadata.phila.gov/#home/datasetdetails/5601852f077169215719b5c5/representationdetails/5612c96db96c129517118d00/, http://data.phl.opendata.arcgis.com/datasets/63da9bd382e7497ca8ea8a01683cca6a_0.kml, https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/RAINGAUGES/FeatureServer/0/query?outFields=*&where=1%3D1, http://data.phl.opendata.arcgis.com/datasets/63da9bd382e7497ca8ea8a01683cca6a_0.geojson, http://data.phl.opendata.arcgis.com/datasets/63da9bd382e7497ca8ea8a01683cca6a_0.csv, http://data.phl.opendata.arcgis.com/datasets/63da9bd382e7497ca8ea8a01683cca6a_0.zip"
021fd817-8d06-4acb-8399-7d45f29e89b0,2017-11-20T20:48:14.688019,Philadelphia Water Department,City of Philadelphia,Stormwater Management Practice Polygons,green-infrastructure-constructed-project-polygons,"This layer represents Green Stormwater Infrastructure Stormwater Management Practice types. Integrating Green Stormwater Infrastructure (GSI) into a highly developed area such as Philadelphia requires a decentralized and creative approach to planning and design.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",Environment,2015-10-07T18:24:09.439881,"CSV, shp, HTML","http://gis.phila.gov/gisdata/ODP/PWD_GSI_SMP.csv, http://gis.phila.gov/gisdata/ODP/PWD_GSI_SMP.zip, http://metadata.phila.gov/#home/datasetdetails/5543864320583086178c4e6f/representationdetails/56eaddf28597748205e975da/"
