UUID,Modified,Creator,Publisher,Title,DatasetURI,Description,TopicCategory,TemporalCoverage,DateIssued,Spatial,Formats,MetadataLink,Links
5085d397-e701-4d31-9bdc-38c6b057217d,2018-02-17T11:03:01.332394,Metropolitan Council,Metropolitan Council,Transit Trip Count Headway by Route,us-mn-state-metc-trans-transit-count-headway-rt,"The Transit Route Trip Count and Headway layer contains frequency statistics for all trips serving the Twin Cities regional metropolitan area. One shape and one corresponding record exists for each individual road segment during a specific day of the week for a specific route. One road segment can have three or more copies of the same shape if the trip pattern occurs on a weekday, Saturday, and Sunday. <br/><br/>Headway is defined as the number of minutes in a service period divided by the trip count for that same service period. The number represents the average rate of minutes between each trip.<br/><br/>The line work for the dataset was derived from NCompass's Centerline and Address Range dataset. A small number of line segments have been added to completely depict the network traveled by fixed-route transit vehicles. ",Transportation,,2015-12-05T11:02:16.954320,"{""type"":""Polygon"",""coordinates"":[[[-94.012, 44.471],[-94.012, 45.415], [-92.732, 45.415], [-92.732, 44.471], [-94.012, 44.471]]]}","gpkg, SHP, fgdb, HTML",ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_transit_count_headway_rt/metadata/metadata.html,"ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_transit_count_headway_rt/gpkg_trans_transit_count_headway_rt.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_transit_count_headway_rt/shp_trans_transit_count_headway_rt.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_transit_count_headway_rt/fgdb_trans_transit_count_headway_rt.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_transit_count_headway_rt/metadata/metadata.html"
2a5d7d73-870e-42df-b10c-f8e2e44fd4e9,2018-02-17T11:03:00.023461,"Minnesota Department of Natural Resources (DNR), Section of Wildlife",Natural Resources Department,State Wildlife Management Area Public Facilities,struc-dnr-wld-mgmt-areas-pub,"WMAs are part of the Minnesota state recreation system created to protect wildlife habitat and provide wildlife-based recreation. Facilities and features are labeled based on a hierarchical classification system developed by the MN DNR, Section of Wildlife.<br/><br/>The line layer contain facilities and features for WMAs that are best represented as lines. Line features may represent any facility or feature that may need to show the length and direction of the feature.  Several examples of  features that may be represented as lines include roads and trails, fence, dike, ditch or stream, drainage tile, fire breaks, water control structures, gates, culverts, bridges, docks, and utility or rail road lines.<br/><br/>The point layer contains facilities and features for WMAs that are best represented as points. Several examples of features that may be represented as points include parking lots, water access, signs, gates, bridges, camping facilities, blinds, water control structures, feeding structures, nesting and breeding structures, buildings, reference points and cultural features. <br/><br/>Disclaimer: The only features in this theme are WMA user facilities such as parking lots, water accesses, trails and blinds.  WMA management facilities such as water control structures, restricted roads, gates and habitat structures have been removed from this layer.<br/><br/>The facility layer should be accurate enough to provide information for management and planning activities as well as for general reference on maps. The classification system used in this inventory is intended to accurately describe the facility or feature at the time of the inventory as well as its future condition given that money is available to maintain that facility or feature. There may be plans to develop the facility to improve public access or improve habitat for desired wildlife species.<br/> <br/>WMAs have restrictions on types of public use, therefore creating maps of WMAs as general recreation or hunting areas has some peril. Some portions of WMAs are wildlife sanctuaries, some WMAs are only open to public use during certain times of the year, some require landowner permission for access and some WMAs are legally closed to the public.",Structure,2/16/18,2016-06-03T10:02:39.424061,"{""type"":""Polygon"",""coordinates"":[[[-96.624408, 43.445832],[-96.624408, 49.015377], [-89.864486, 49.015377], [-89.864486, 43.445832], [-96.624408, 43.445832]]]}","JPEG, fgdb, gpkg, SHP, HTML",ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/struc_dnr_wld_mgmt_areas_pub/metadata/metadata.html,"ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/struc_dnr_wld_mgmt_areas_pub/metadata/preview.jpg, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/struc_dnr_wld_mgmt_areas_pub/fgdb_struc_dnr_wld_mgmt_areas_pub.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/struc_dnr_wld_mgmt_areas_pub/gpkg_struc_dnr_wld_mgmt_areas_pub.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/struc_dnr_wld_mgmt_areas_pub/shp_struc_dnr_wld_mgmt_areas_pub.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/struc_dnr_wld_mgmt_areas_pub/metadata/metadata.html"
3b2772a4-5458-47f1-ba8c-b8b1d32d39fb,2018-02-17T11:02:59.544348,Minnesota Board of Water and Soil Resources (BWSR),Board of Water and Soil Resources (BWSR),Minnesota Wetland Banking Program Easements,bdry-wetland-banking-easements,"The State of Minnesota wetland banking program is authorized by State statutes and associated State rules (Chapter 8420). The program requires that all land being utilized for wetland banking purposes be protected by a State conservation easement, although other land protection mechanisms were used prior to 2000. These protected lands are primarily privately-owned and not accessible to the public without landowner permission. This spatial data layer shows the approximate boundaries of lands protected by State of Minnesota conservation easements and/or other land protection mechanisms associated with the State’s wetland banking program. Information on wetland banking and associated credits can be found at http://bwsr.state.mn.us/wetlands/wetlandbanking/credits.html.","Boundaries, Environment, Planning + Cadastre",11/1/17,2015-05-13T08:02:34.030397,"{""type"":""Polygon"",""coordinates"":[[[-97.23, 43.5],[-97.23, 49.37], [-89.53, 49.37], [-89.53, 43.5], [-97.23, 43.5]]]}","SHP, fgdb, gpkg, HTML",ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_bwsr/bdry_wetland_banking_easements/metadata/metadata.html,"ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_bwsr/bdry_wetland_banking_easements/shp_bdry_wetland_banking_easements.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_bwsr/bdry_wetland_banking_easements/fgdb_bdry_wetland_banking_easements.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_bwsr/bdry_wetland_banking_easements/gpkg_bdry_wetland_banking_easements.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_bwsr/bdry_wetland_banking_easements/metadata/metadata.html"
79b21dc7-3b24-4829-a16c-d18225ecd783,2018-02-17T11:02:58.778488,Minnesota Department of Natural Resources (DNR) - Fisheries Division,Natural Resources Department,"State Administered Lands - DNR Management Units, Minnesota",bdry-dnr-managed-areas,"This data layer shows lands acquired, administered and/or managed by Minnesota  DNR. These include lands in the following categories:  <ul><li>Aquatic Management Area (AMA)</li><br/><li>Scientific and Natural Area (SNA)</li><br/><li>State Forest</li><br/><li>Other Forest Land</li><br/><li>State Park</li><br/><li>State Recreation Area</li><br/><li>State Wayside</li><br/><li>Wildlife Management Area (WMA)</li><br/></ul>Management Units are often composed of numerous tracts of land that are managed or administered as a single unit.  <br/><br/>Some features in this layer are hyperlinked to websites or documents that provide descriptive information. Use ArcMap's <i>Hyperlink Tool</i> (yellow lightning bolt) to access deed documents. (To set up the hyperlink, open <i>Layer Properties: Display tab</i>, check the <i>Hyperlinks</i> box and choose the field [WEB_LINK1] or [WEB_LINK2].)",Boundaries,2/16/18,2016-06-03T10:02:38.900113,"{""type"":""Polygon"",""coordinates"":[[[-97.23, 43.5],[-97.23, 49.37], [-89.53, 49.37], [-89.53, 43.5], [-97.23, 43.5]]]}","JPEG, SHP, fgdb, gpkg, HTML",ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/bdry_dnr_managed_areas/metadata/metadata.html,"ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/bdry_dnr_managed_areas/metadata/preview.jpg, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/bdry_dnr_managed_areas/shp_bdry_dnr_managed_areas.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/bdry_dnr_managed_areas/fgdb_bdry_dnr_managed_areas.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/bdry_dnr_managed_areas/gpkg_bdry_dnr_managed_areas.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/bdry_dnr_managed_areas/metadata/metadata.html"
8be7e101-25bc-4753-96b3-c723e616de48,2018-02-17T11:02:57.643652,Minnesota Pollution Control Agency,Pollution Control Agency,MPCA Agency Interests,env-mpca-agency-interests,"Facility, site and project locations from the Minnesota Pollution Control Agency's enterprise database.These features represent locations associated with waste water, storm water, hazardous waste, feedlot, solid waste, tanks, remediation, and other agency programs. The ai_program_list attribute provides a list of programs with activities at the site. Agency Interests can represent anything from a facility to a construction project.",Environment,,2016-09-08T10:02:08.216631,"{""type"":""Polygon"",""coordinates"":[[[-97.23, 43.5],[-97.23, 49.37], [-89.0, 49.37], [-89.0, 43.5], [-97.23, 43.5]]]}","JPEG, fgdb, CSV, gpkg, SHP, HTML",ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_mpca_agency_interests/metadata/metadata.html,"ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_mpca_agency_interests/preview/preview.jpg, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_mpca_agency_interests/fgdb_env_mpca_agency_interests.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_mpca_agency_interests/csv_env_mpca_agency_interests.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_mpca_agency_interests/gpkg_env_mpca_agency_interests.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_mpca_agency_interests/shp_env_mpca_agency_interests.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_mpca_agency_interests/metadata/metadata.html"
906ae99c-dc6c-486b-bf7c-72c1ef9c046c,2018-02-17T11:02:56.951856,Minnesota Department of Natural Resources,Natural Resources Department,DNR QuickLayers for ArcGIS 10,quick-layers,"The way to access Layers Quickly.<br/><br/>Quick Layers is an Add-In for ArcMap that allows rapid access to the DNR's Geospatial Data Resource Site (GDRS). The GDRS is a data structure that serves core geospatial dataset and applications for not only DNR, but many state agencies, and supports the Minnesota Geospatial Commons. Data added from Quick Layers is pre-symbolized, helping to standardize visualization and map production. Current version: 1.159<br/><br/>To use Quick Layers with the GDRS, <there's no need to download QuickLayers from this location>. Instead, download a full copy or a custom subset of the public GDRS (including Quick Layers) using <a href=https://gisdata.mn.gov/dataset/gdrsmanager target=_blank>GDRS Manager</a>.<br/><br/>Quick Layers also allows users to save and share their own pre-symbolized layers, thus increasing efficiency and consistency across the enterprise.<br/><br/>Installation:<br/><br/>After using GDRS Manager to create a GDRS, including Quick Layers, add the path to the Quick Layers addin to the list of shared folders:<br/>1.	Open ArcMap<br/>2.	Customize -> Add-In Manager… -> Options<br/>3.	Click add folder, and enter the location of the Quick Layers app. For example, if your GDRS is mapped to the V drive, the path would be V:\gdrs\apps\pub\us_mn_state_dnr\quick_layers<br/>4.	After you do this, the Quick Layers toolbar will be available. To add it, go to Customize -> Toolbars and select DNR Quick Layers 10<br/><br/><The link below is only for those who are using Quick Layers without a GDRS.> To get the most functionality out of Quick Layers, don't install it separately, but instead download it as part of a GDRS build using <a href=https://gisdata.mn.gov/dataset/gdrsmanager target=_blank>GDRS Manager</a>.",,9/25/17,2014-12-17T20:24:08.116773,,esri_addin,,ftp://ftp.gisdata.mn.gov/pub/gdrs/apps/pub/us_mn_state_dnr/quick_layers.zip
10240f20-ed5e-484d-9831-1f7817789b1f,2018-02-17T11:02:56.092740,Metropolitan Council,Metropolitan Council,Transit Patterns by Node Segments,us-mn-state-metc-trans-transit-pattern-node-segs,"The Transit Patterns layer contains all fixed patterns serving the Twin Cities regional metropolitan area. A single route has multiple patterns often characterized by different terminals or branches. One shape and one corresponding record exists for each individual node (time point) segment that compose the pattern. <br/><br/>Metro Transit defines a node as reference points that make up a route. These are usually street intersections but can be places. Stops are assigned the node id if they are related to the designated intersection or place. At each node location, actual arrival times are recorded and documented in transit systems. Please note that not all stops are assigned a node id. <br/><br/>The line work for the dataset was derived from NCompasses Street Centerline and Address Range dataset. A small number of line segments have been added to those available from the NCompass dataset to completely depict all patterns traveled by fixed-route transit vehicles. ",Transportation,,2015-10-07T10:02:07.552602,"{""type"":""Polygon"",""coordinates"":[[[-94.012, 44.471],[-94.012, 45.415], [-92.732, 45.415], [-92.732, 44.471], [-94.012, 44.471]]]}","SHP, gpkg, ags_mapserver, fgdb, HTML",ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_transit_pattern_node_segs/metadata/metadata.html,"ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_transit_pattern_node_segs/shp_trans_transit_pattern_node_segs.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_transit_pattern_node_segs/gpkg_trans_transit_pattern_node_segs.zip, http://gis2.metc.state.mn.us/arcgis/rest/services/MetroGIS/Transit/MapServer, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_transit_pattern_node_segs/fgdb_trans_transit_pattern_node_segs.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_transit_pattern_node_segs/metadata/metadata.html"
4aa9f3ad-b94d-44b1-a11c-0cdda02182da,2018-02-17T11:02:53.642665,Minnesota Pollution Control Agency,Pollution Control Agency,What's In My Neighborhood Sites,env-my-neighborhood,"The MPCA's What's in My Neighborhood contains a wide variety of environmental information about your community. This includes potentially contaminated sites, permits, licenses, registrations, inspections, and closed enforcement activities.<br/><br/>Potentially contaminated sites: Since the early 1980s when major federal and state cleanup programs were created, the MPCA has been aggressively searching for and helping to clean up contaminated properties, from very small to large. This website contains a searchable inventory of those properties, as well as sites that have already been cleaned up and those currently being investigated or cleaned up.<br/>Environmental permits and registrations: This Web application also contains a searchable inventory of businesses that have applied for and received different types of environmental permits and registrations from the MPCA.<br/><br/>Methods for creating site locations have different levels of precision. The most accurate locations use coordinates from GPS (global positioning system). Coordinates are also derived using the site's street address, zip code or public land survey information. Some MPCA sites are not mapped. These are generally activities that are mobile, like ships with ballast water permits. <br/>",Environment,,2017-03-29T10:01:58.552199,"{""type"":""Polygon"",""coordinates"":[[[-97.260405, 43.436257],[-97.260405, 49.365608], [-89.512062, 49.365608], [-89.512062, 43.436257], [-97.260405, 43.436257]]]}","JPEG, WebApp, gpkg, fgdb, HTML, SHP, CSV, WMS, GIF, ags_mapserver",ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_my_neighborhood/metadata/metadata.html,"ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_my_neighborhood/preview/preview.jpg, https://pca-gis02.pca.state.mn.us/wimn2/index.html, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_my_neighborhood/gpkg_env_my_neighborhood.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_my_neighborhood/fgdb_env_my_neighborhood.zip, https://www.pca.state.mn.us/data/whats-my-neighborhood, https://cf.pca.state.mn.us/wimn/search.cfm, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_my_neighborhood/shp_env_my_neighborhood.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_my_neighborhood/csv_env_my_neighborhood.zip, https://pca-gis02.pca.state.mn.us/arcgis/services/WIMN/wimn_tempo/MapServer/WMSServer?request=GetCapabilities&service=WMS, https://pca-gis02.pca.state.mn.us/arcgis/services/WIMN/wimn_tempo/MapServer/WMSServer?version=1.3.0&request=GetMap&CRS=CRS:84&bbox=-94,45,-93,46&width=600&height=600&layers=1&styles=default&format=image/png, https://pca-gis02.pca.state.mn.us/arcgis/rest/services/WIMN/sites/MapServer, http://services.pca.state.mn.us/wimn, http://services.pca.state.mn.us/api/doc/v1/wimn/sites, http://services.pca.state.mn.us/api/v1/wimn/sites?searchString=TCAAP&format=text, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_my_neighborhood/metadata/metadata.html"
841ab7c4-fa46-451a-8a66-642264faf5a4,2018-02-17T11:02:52.697914,Minnesota Pollution Control Agency,Pollution Control Agency,Land Application Sites in Minnesota,env-land-application-sites,"This dataset represents the locations of land application sites that are regulated by the Minnesota Pollution Control Agency. Land application is the process of incorporating products such as manure, petroleum contaminated soil, or selected industrial by-products to agricultural land for treatment by natural processes.<br/><br/>These sites are associated with the municipal and industrial waste water, feedlot, petroleum remediation, and other agency programs. The ai_program_list attribute contains a list of programs with activities at the site.",Environment,9/2/16,2016-09-08T10:02:06.810503,"{""type"":""Polygon"",""coordinates"":[[[-97.23, 43.5],[-97.23, 49.37], [-89.53, 49.37], [-89.53, 43.5], [-97.23, 43.5]]]}","JPEG, fgdb, SHP, gpkg, HTML",ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_land_application_sites/metadata/metadata.html,"ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_land_application_sites/preview/preview.jpg, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_land_application_sites/fgdb_env_land_application_sites.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_land_application_sites/shp_env_land_application_sites.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_land_application_sites/gpkg_env_land_application_sites.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_pca/env_land_application_sites/metadata/metadata.html"
d9ccd45d-ccad-4958-934a-14c45a42a3a3,2018-02-17T11:02:50.695071,Minnesota Department of Health,Health Department,Drinking Water Supply Management Areas,water-drinking-water-supply,"These sets of data include the drinking water supply management area boundaries and the vulnerability levels within each management area in Minnesota.<br/><br/>More information can be found at: http://www.health.state.mn.us/divs/eh/water/swp/maps/index.htm <br/><br/>Follow the links below to the access the individual metadata pages for each layer:<br/><br/><b>Drinking Water Supply Management Areas:</b> <a href=""ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_drinking_water_supply/metadata/drinking_water_supply_management_areas.html"">drinking_water_supply_management_areas.html</a><br/><br/><b>Drinking Water Supply Management Areas Vulnerability:</b> <a href=""ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_drinking_water_supply/metadata/drinking_water_supply_management_area_vulnerability.html"">drinking_water_supply_management_area_vulnerability.html</a>","Health, Inland Waters",5/3/17,2015-02-11T09:01:44.884177,"{""type"":""Polygon"",""coordinates"":[[[-97.072169, 43.432979],[-97.072169, 48.805032], [-91.139865, 48.805032], [-91.139865, 43.432979], [-97.072169, 43.432979]]]}","JPEG, fgdb, gpkg, SHP, HTML",ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_drinking_water_supply/metadata/metadata.html,"ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_drinking_water_supply/metadata/preview.jpg, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_drinking_water_supply/fgdb_water_drinking_water_supply.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_drinking_water_supply/gpkg_water_drinking_water_supply.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_drinking_water_supply/shp_water_drinking_water_supply.zip, ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_drinking_water_supply/metadata/metadata.html"
